"","year_data","year","region","region_description","state","offense","occurrence","age","cleared","population","occ_per_100k","clr_per_100k"
"1",0,2014,9,"Southwest/Pacific","Alaska","commercial sex act",11,"adult",3,737045,14.9244618713918,0.407030778310687
"2",0,2014,9,"Southwest/Pacific","Arizona","commercial sex act",15,"adult",8,6634999,2.26073884864188,0.120572738594233
"3",0,2014,9,"Southwest/Pacific","California","commercial sex act",0,"adult",0,38280824,0,0
"4",0,2014,10,"Rockies/Mid-West","Colorado","commercial sex act",11,"adult",0,5270482,2.08709563945005,0
"5",0,2014,3,"Mideast South","Delaware","commercial sex act",0,"adult",0,923638,0,0
"6",0,2014,5,"Gulf Coast East","Florida","commercial sex act",57,"adult",44,19563166,2.91363882512677,0.22491247071154
"7",0,2014,9,"Southwest/Pacific","Guam","commercial sex act",0,"adult",0,160375,0,0
"8",0,2014,9,"Southwest/Pacific","Hawaii","commercial sex act",0,"adult",0,1408453,0,0
"9",0,2014,12,"Northeast","Idaho","commercial sex act",0,"adult",0,1611530,0,0
"10",0,2014,7,"North Central","Illinois","commercial sex act",50,"adult",0,12898269,3.87648916300319,0
"11",0,2014,7,"North Central","Indiana","commercial sex act",0,"adult",0,6568367,0,0
"12",0,2014,10,"Rockies/Mid-West","Kansas","commercial sex act",1,"adult",1,2893510,0.345601017449395,0.0345601017449395
"13",0,2014,1,"New England","Massachusetts","commercial sex act",6,"adult",4,6713944,0.893662502993769,0.0595775001995846
"14",0,2014,6,"Central","Michigan","commercial sex act",2,"adult",2,9913349,0.201748168050979,0.0201748168050979
"15",0,2014,7,"North Central","Minnesota","commercial sex act",22,"adult",5,5413693,4.06376940842416,0.0923583956460036
"16",0,2014,8,"Plains","Missouri","commercial sex act",5,"adult",1,6040658,0.827724396911727,0.0165544879382345
"17",0,2014,5,"Gulf Coast East","Mississippi","commercial sex act",0,"adult",0,2988797,0,0
"18",0,2014,12,"Northeast","Montana","commercial sex act",1,"adult",0,1013564,0.986617519959272,0
"19",0,2014,9,"Southwest/Pacific","Nevada","commercial sex act",0,"adult",0,2776972,0,0
"20",0,2014,6,"Central","Ohio","commercial sex act",0,"adult",0,11576576,0,0
